feature,gain,fold,mean_gain
abs_energy_4_by_0,305,4,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,245,4,295.85714285714283
2__cid_ce__normalize_True,284,4,307.85714285714283
1__abs_energy_norm,281,4,280.2857142857143
0__cid_ce__normalize_True,227,4,266.42857142857144
1__cid_ce__normalize_True,293,4,305.0
2__minimum,336,4,281.42857142857144
flux_diff__longest_strike_above_mean,245,4,269.0
0__flux_by_flux_ratio_sq_sum,315,4,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,225,4,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,237,4,236.14285714285714
abs_energy_3_by_1,300,4,283.85714285714283
detected_mean,245,4,280.42857142857144
4__kurtosis,251,4,236.28571428571428
flux_diff_5_by_3,185,4,196.28571428571428
1__minimum,275,4,267.0
flux_norm_fft_5_by_0,334,4,222.57142857142858
1__flux_by_flux_ratio_sq_skew,275,4,263.85714285714283
abs_energy_2_by_1,237,4,243.0
5__median,277,4,235.0
flux__time_reversal_asymmetry_statistic__lag_4,267,4,279.2857142857143
1__median,249,4,266.42857142857144
5__kurtosis,201,4,200.57142857142858
1__kurtosis,184,4,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",241,4,199.85714285714286
3__skewness,221,4,213.14285714285714
2__skewness_diff,233,4,227.28571428571428
flux_diff_3_by_1,176,4,184.85714285714286
flux_diff_3_by_2,198,4,181.28571428571428
3__cid_ce__normalize_True,222,4,240.28571428571428
flux_diff__binned_entropy__max_bins_10,194,4,217.28571428571428
flux_median,243,4,253.85714285714286
abs_energy_5_by_2,184,4,195.42857142857142
flux_norm_fft_5_by_2,209,4,235.28571428571428
5__abs_energy,303,4,323.57142857142856
flux_diff_5_by_2,211,4,207.0
